"tenure","monthly_charges","total_charges","contract","internet_service","payment_method","y"
22,124.005919993207,2787.20410546936,"Month-to-month","Fiber optic","Electronic check",0
14,61.130072043564,931.803098061927,"One year","No","Electronic check",0
45,41.7945067106623,1905.78316630394,"Month-to-month","DSL","Mailed check",0
34,69.4200635960187,2411.80791889274,"Month-to-month","Fiber optic","Electronic check",0
33,51.1601595092139,1631.33255140886,"Month-to-month","Fiber optic","Bank transfer",0
15,84.0381693831505,1166.29402420481,"Month-to-month","DSL","Credit card",0
13,81.6885541250869,1050.89705970766,"One year","No","Credit card",0
3,47.2566102277651,161.90265812611,"Month-to-month","Fiber optic","Credit card",0
82,72.4464752629452,6016.94617403296,"Month-to-month","Fiber optic","Credit card",0
28,78.0505911899408,2219.12399686312,"Month-to-month","No","Mailed check",0
10,33.5150237616125,326.171209167948,"Two year","No","Bank transfer",0
114,44.0040768095271,4980.81339862463,"Month-to-month","DSL","Mailed check",1
12,70.8376861160486,803.188792040164,"One year","Fiber optic","Credit card",1
43,91.5857486942626,3959.49693355104,"Month-to-month","Fiber optic","Bank transfer",0
34,50.650412636557,1680.40158659186,"One year","Fiber optic","Mailed check",0
12,33.8377198999796,376.996849863047,"Month-to-month","No","Mailed check",0
12,75.6139411108218,973.46690439291,"One year","Fiber optic","Mailed check",0
61,77.1566749920837,4808.49703365814,"Month-to-month","Fiber optic","Mailed check",0
5,57.7051110288915,339.408801451903,"One year","Fiber optic","Bank transfer",0
10,102.480809485802,1018.24770661838,"One year","Fiber optic","Mailed check",1
41,107.270090967956,4335.08714162588,"Month-to-month","No","Mailed check",0
43,70.5459188561394,2983.63968896146,"One year","Fiber optic","Credit card",0
40,79.8019328726357,3155.69066919591,"Month-to-month","DSL","Mailed check",0
11,116.734291688789,1357.29259629081,"One year","DSL","Mailed check",1
38,70.8815390268499,2797.50027830894,"Month-to-month","No","Electronic check",0
30,48.5055977798664,1355.42415427557,"One year","Fiber optic","Mailed check",0
36,60.637490653341,2222.2794215954,"Month-to-month","DSL","Credit card",0
45,42.860121629332,1935.04654385516,"Month-to-month","Fiber optic","Electronic check",0
21,78.9872081924575,1625.89542225441,"Two year","Fiber optic","Bank transfer",0
19,42.7131575642994,788.583993671228,"One year","DSL","Credit card",0
30,65.252914332611,1989.05070857872,"One year","Fiber optic","Mailed check",0
20,44.0717163338343,839.05466783525,"Two year","Fiber optic","Credit card",0
15,102.153559239869,1443.30715832888,"Month-to-month","DSL","Mailed check",1
48,54.2472693610408,2632.22649654211,"Month-to-month","DSL","Electronic check",0
12,70.8965691184951,868.287982560245,"Month-to-month","No","Electronic check",0
32,63.1177608882539,1940.92991104657,"Month-to-month","DSL","Electronic check",1
41,79.0855144401281,3350.31316164713,"Month-to-month","Fiber optic","Credit card",0
35,27.4604106172128,955.658451925207,"Two year","DSL","Credit card",0
37,59.4790564433979,2047.21270823664,"Month-to-month","Fiber optic","Bank transfer",0
15,108.994814349882,1578.5820365679,"Month-to-month","Fiber optic","Mailed check",1
48,75.6837906977993,3708.20277647103,"One year","DSL","Electronic check",0
50,111.118458623755,5564.98986722025,"Month-to-month","DSL","Electronic check",0
23,67.2915302538,1563.84123603337,"Month-to-month","Fiber optic","Credit card",1
35,37.4016077538065,1261.00749813933,"Month-to-month","No","Bank transfer",0
38,83.0215488180417,3092.48041535024,"Month-to-month","No","Mailed check",0
10,92.0888049904329,887.675300046697,"Two year","DSL","Bank transfer",0
59,43.5927199262893,2626.93357101658,"One year","DSL","Credit card",0
50,96.2702123023004,4880.4110885875,"Month-to-month","Fiber optic","Mailed check",0
38,58.4650559030221,2166.86720283375,"Two year","No","Mailed check",0
13,91.5838069197198,1254.79029672569,"Month-to-month","DSL","Mailed check",0
117,59.0329224782804,6816.65684835528,"One year","DSL","Bank transfer",0
35,94.9888591401046,3244.75699452124,"Month-to-month","No","Mailed check",0
51,50.1073516450388,2508.62812494383,"Month-to-month","No","Bank transfer",0
71,81.9716854174251,5892.86772032033,"Month-to-month","Fiber optic","Electronic check",0
36,63.4712090677799,2261.8759515759,"Month-to-month","DSL","Electronic check",0
6,73.5854478726465,379.103593370627,"Month-to-month","Fiber optic","Electronic check",1
14,57.1547745488528,727.326874720359,"Month-to-month","Fiber optic","Bank transfer",0
70,81.4443472296359,5701.19738152519,"Month-to-month","DSL","Electronic check",0
12,66.8273846909756,745.790088811475,"One year","Fiber optic","Electronic check",0
22,43.6607185478567,921.693324683051,"Month-to-month","Fiber optic","Credit card",1
64,81.3756288855425,5205.46651842219,"One year","DSL","Mailed check",0
16,73.7055560507168,1161.15362859511,"Month-to-month","No","Mailed check",0
38,72.59342640755,2748.00519296871,"Two year","Fiber optic","Bank transfer",0
19,57.7442526158899,1059.24996946553,"One year","Fiber optic","Credit card",0
52,97.6105394564092,5251.00654964327,"One year","DSL","Mailed check",0
32,21.8838709717947,758.177060904539,"Month-to-month","DSL","Electronic check",0
14,55.2420918587498,905.207171148141,"Month-to-month","Fiber optic","Mailed check",0
41,59.7391702564238,2419.59343617687,"Month-to-month","Fiber optic","Mailed check",0
32,70.1987889155678,2200.57576566446,"Month-to-month","Fiber optic","Mailed check",0
3,105.849064105265,311.088233109533,"Month-to-month","Fiber optic","Electronic check",0
55,94.3935765768487,5274.26552171253,"Two year","DSL","Credit card",0
8,96.8068897657337,763.661730849636,"One year","Fiber optic","Mailed check",0
31,81.8025611504647,2517.65954665913,"Two year","DSL","Electronic check",0
7,34.2433549158993,231.759833455595,"One year","Fiber optic","Electronic check",0
10,67.1342220928509,649.857164737829,"Month-to-month","Fiber optic","Bank transfer",1
63,84.8503476067112,5259.47627635116,"One year","No","Bank transfer",0
21,73.6156198143213,1583.17625508497,"Month-to-month","Fiber optic","Mailed check",0
26,105.225918553671,2749.52053172047,"Month-to-month","Fiber optic","Bank transfer",1
25,18,390.753048289133,"Month-to-month","Fiber optic","Mailed check",0
42,78.9323035090811,3296.73310106677,"Month-to-month","Fiber optic","Credit card",0
22,70.1873728911267,1610.61154013401,"Two year","DSL","Electronic check",0
21,79.3614682334675,1670.5924576104,"Month-to-month","No","Mailed check",0
66,31.0491080982571,2051.98985754854,"Month-to-month","Fiber optic","Electronic check",0
40,61.3697649642508,2456.39821863588,"Month-to-month","DSL","Bank transfer",0
40,58.822760673123,2286.05826039599,"Month-to-month","No","Bank transfer",1
26,122.9892592295,3208.28765395322,"Month-to-month","No","Credit card",1
15,63.1882753246588,775.652388306575,"One year","DSL","Mailed check",0
64,51.7160499815293,3327.11499959157,"Two year","Fiber optic","Mailed check",0
48,91.0678661908269,4401.56931426068,"Month-to-month","Fiber optic","Credit card",0
10,71.5221757062022,801.361078644287,"Month-to-month","DSL","Mailed check",0
32,86.6479428777951,2699.98888054165,"Month-to-month","DSL","Credit card",0
17,76.3232002291631,1250.6912770383,"Two year","Fiber optic","Mailed check",0
25,68.166038278392,1832.57413479529,"Month-to-month","DSL","Credit card",0
50,57.1764085869062,2915.81317079449,"Month-to-month","Fiber optic","Bank transfer",0
19,60.9627010388959,1147.61419918219,"One year","DSL","Credit card",0
24,18,486.141318218438,"Month-to-month","Fiber optic","Electronic check",1
70,66.6998041350488,4694.95718852377,"One year","DSL","Mailed check",0
19,98.3057811130552,1878.21563739398,"Month-to-month","DSL","Credit card",0
11,87.741735131762,974.463632379257,"Month-to-month","DSL","Credit card",0
15,77.2214581385263,1243.62557273327,"Month-to-month","No","Mailed check",0
66,29.0427406515031,1822.14752342249,"One year","No","Credit card",0
14,63.6483098161484,822.408689777982,"Month-to-month","DSL","Electronic check",0
14,62.1366121284672,893.434710836713,"One year","DSL","Credit card",0
32,40.597244518921,1284.61208595604,"Month-to-month","Fiber optic","Bank transfer",0
5,73.6461748843873,454.452870643148,"One year","No","Credit card",0
14,90.6188968249385,1230.69692844978,"Month-to-month","DSL","Credit card",0
44,55.3233668847571,2396.56444315265,"Month-to-month","No","Credit card",0
24,86.1945553166955,2072.38042717998,"One year","DSL","Electronic check",0
31,79.427487609762,2458.6625963937,"Month-to-month","Fiber optic","Mailed check",0
18,56.574719119045,1012.11077286488,"Month-to-month","DSL","Mailed check",0
14,97.5296519614334,1401.56305578079,"Month-to-month","Fiber optic","Bank transfer",1
34,55.5088154207059,1807.57898089867,"Month-to-month","DSL","Credit card",0
19,30.5034819502218,528.603297998421,"Month-to-month","DSL","Mailed check",0
8,100.663064442572,858.799727453125,"Month-to-month","Fiber optic","Electronic check",1
22,134.077039475596,2896.99581903739,"Month-to-month","Fiber optic","Electronic check",0
5,79.9508804796934,351.099635724073,"Two year","DSL","Bank transfer",0
9,71.9114521625185,647.283193835312,"Two year","No","Bank transfer",0
32,46.6343859359833,1412.41590250834,"Month-to-month","Fiber optic","Electronic check",0
49,54.6894431504134,2658.2084534879,"Month-to-month","DSL","Electronic check",0
41,71.6651600844294,2901.69629017622,"Month-to-month","Fiber optic","Mailed check",0
84,70.699495591074,5961.95601325827,"Two year","Fiber optic","Mailed check",1
55,94.6137567593422,5169.53817132451,"Month-to-month","DSL","Bank transfer",0
5,53.2303213608906,242.485884183994,"Month-to-month","DSL","Credit card",1
9,73.9172815533721,717.328803422115,"Two year","Fiber optic","Mailed check",0
16,34.0959354431877,474.073502183354,"One year","DSL","Mailed check",0
28,137.19805370793,3867.58719044938,"One year","DSL","Mailed check",0
7,71.5538176691308,515.418327093523,"Month-to-month","No","Bank transfer",0
36,44.6703339295075,1530.63672546732,"Two year","Fiber optic","Credit card",0
7,73.5081991484017,604.685553401116,"Two year","Fiber optic","Bank transfer",0
11,62.7762126075217,690.3488125192,"Month-to-month","Fiber optic","Credit card",0
5,64.3671418261843,366.121156360703,"Month-to-month","DSL","Bank transfer",1
31,72.2332576701885,2351.11586660063,"Two year","Fiber optic","Credit card",1
4,48.3046485934647,148.992971153535,"One year","DSL","Electronic check",0
13,55.8508427263083,766.80718327918,"Month-to-month","DSL","Bank transfer",0
19,55.1068942483351,980.697781148073,"Month-to-month","No","Credit card",0
105,56.1766908211147,5854.19368500662,"Month-to-month","Fiber optic","Mailed check",0
15,66.2254166105777,891.854170906868,"One year","DSL","Credit card",0
10,39.1381518088223,413.074882532584,"One year","No","Bank transfer",0
38,45.2336690720655,1558.94840685754,"One year","Fiber optic","Mailed check",0
15,87.9805561235335,1332.9872942919,"Month-to-month","No","Bank transfer",0
11,74.2196158981088,762.201603126789,"Two year","Fiber optic","Mailed check",0
29,78.1039762338841,2311.07226724133,"Two year","DSL","Credit card",0
7,48.0650976049651,306.034401570087,"One year","Fiber optic","Electronic check",0
36,46.5951409174503,1672.40022609686,"Two year","Fiber optic","Credit card",0
40,111.606925213063,4457.20852615829,"One year","DSL","Bank transfer",0
41,33.9261467064404,1401.08355745162,"Two year","Fiber optic","Credit card",0
20,96.5474963748682,1951.54113714748,"Two year","No","Electronic check",0
30,84.3344866305453,2478.79931731071,"One year","Fiber optic","Electronic check",0
21,72.0016845171664,1487.7221831566,"Month-to-month","Fiber optic","Credit card",1
38,73.1201529535943,2840.88632643272,"Month-to-month","Fiber optic","Electronic check",0
9,78.2929715693133,742.060822673873,"One year","DSL","Electronic check",0
42,116.267620430231,4958.01741741282,"One year","Fiber optic","Bank transfer",0
28,34.2658915049137,912.126951976111,"One year","DSL","Bank transfer",0
13,55.9081659268312,758.506388369498,"One year","Fiber optic","Mailed check",1
60,110.129456811877,6807.27527069117,"Month-to-month","DSL","Mailed check",0
32,68.6955891702361,2181.11878107949,"One year","No","Credit card",0
30,50.1384207393441,1534.26073522307,"Two year","Fiber optic","Electronic check",0
38,86.4064883838897,3359.75783059448,"Month-to-month","Fiber optic","Electronic check",1
26,117.028557001318,2955.80560014309,"Month-to-month","Fiber optic","Bank transfer",0
52,63.3925643171429,3201.32940621931,"One year","DSL","Mailed check",0
6,108.437836268166,577.244733662337,"Month-to-month","DSL","Electronic check",1
10,78.9800075135853,857.944852046173,"Month-to-month","Fiber optic","Credit card",0
28,112.931825561501,3189.01290279253,"Month-to-month","DSL","Mailed check",1
16,43.4355348910643,696.573447121286,"Month-to-month","DSL","Electronic check",1
53,58.7702629772069,3200.8469972587,"Month-to-month","DSL","Electronic check",0
20,69.7032479710347,1496.14516526529,"Month-to-month","DSL","Bank transfer",0
37,33.3141812259322,1344.29903461651,"Month-to-month","Fiber optic","Credit card",0
14,67.9223358235187,969.051920804534,"One year","Fiber optic","Bank transfer",0
29,51.8710281908877,1372.06434026302,"Month-to-month","Fiber optic","Bank transfer",0
43,18,719.213039317631,"Two year","DSL","Mailed check",0
28,51.0505465435263,1438.0984042231,"Month-to-month","DSL","Mailed check",0
67,78.0657254277694,5204.82424964533,"Month-to-month","No","Bank transfer",0
23,54.7957108306477,1311.22080498954,"Month-to-month","Fiber optic","Bank transfer",0
14,88.28093508681,1183.12159866366,"Month-to-month","Fiber optic","Electronic check",0
26,69.305087905747,1840.91350182859,"Month-to-month","Fiber optic","Mailed check",0
87,70.992242640962,6105.35932859716,"Month-to-month","No","Mailed check",0
11,22.1670578286674,235.757876741567,"Month-to-month","DSL","Credit card",0
18,50.0882681027211,940.77930266016,"Two year","DSL","Credit card",0
9,65.405107294826,634.753687977689,"Month-to-month","Fiber optic","Mailed check",0
9,70.0028944060952,645.292720270788,"One year","No","Electronic check",0
11,18,106.986541711332,"One year","No","Bank transfer",0
26,86.315051868687,2232.28322989691,"Month-to-month","DSL","Bank transfer",0
22,62.1592488469548,1404.37516490538,"Month-to-month","Fiber optic","Mailed check",0
33,72.6260783513532,2349.09124350427,"Month-to-month","No","Bank transfer",0
47,121.853175939891,5733.21989540733,"Two year","DSL","Mailed check",0
34,101.557053966409,3450.27557710472,"Two year","No","Bank transfer",0
33,52.7711823032008,1689.6469101235,"One year","Fiber optic","Bank transfer",0
13,69.3497542312574,916.894543437543,"Month-to-month","DSL","Electronic check",0
12,68.6392026136452,695.335249258433,"Month-to-month","Fiber optic","Electronic check",0
7,58.7524659667758,328.300674848915,"One year","DSL","Credit card",0
58,79.0658609232993,4606.12404675116,"One year","Fiber optic","Bank transfer",0
9,94.0891337434096,915.185734664853,"Month-to-month","No","Credit card",1
62,47.8927247815521,2906.60998201488,"One year","DSL","Electronic check",0
27,51.8965905715797,1377.43176327411,"Two year","Fiber optic","Mailed check",0
63,93.0361432690103,5881.02581557157,"Month-to-month","Fiber optic","Bank transfer",0
7,108.803563609384,790.597027362561,"Two year","Fiber optic","Bank transfer",0
12,113.214322365727,1337.72210695889,"Two year","No","Bank transfer",1
11,93.2317905206495,986.779777808642,"Month-to-month","Fiber optic","Bank transfer",0
5,66.7998828342858,316.278944172202,"One year","Fiber optic","Credit card",0
59,81.1526547276326,4722.7268073237,"Month-to-month","Fiber optic","Credit card",1
26,121.084960791844,3163.83243909019,"Month-to-month","No","Credit card",0
60,49.5501936584577,3008.20551820942,"Two year","Fiber optic","Credit card",0
34,100.720993949614,3487.99615422022,"Month-to-month","Fiber optic","Electronic check",0
57,54.9798839996368,3110.40118630715,"Month-to-month","DSL","Mailed check",0
12,43.0202193930665,605.73942453218,"Month-to-month","Fiber optic","Bank transfer",0
24,31.6632945568041,774.600380676426,"Two year","DSL","Credit card",1
16,73.17807217871,1207.66050887954,"One year","No","Mailed check",0
15,59.7803701044882,918.871865285835,"One year","DSL","Bank transfer",0
59,93.444820675897,5443.53618947202,"One year","Fiber optic","Mailed check",0
40,125.694508992038,5056.34794075443,"One year","Fiber optic","Electronic check",0
26,111.428225563767,2830.67994971783,"Month-to-month","DSL","Bank transfer",0
36,57.041465344941,2102.44034779964,"One year","Fiber optic","Credit card",0
12,42.5564406906545,514.232383712391,"Month-to-month","Fiber optic","Electronic check",0
20,51.4934271154048,1110.67099988106,"Month-to-month","Fiber optic","Credit card",0
41,18,746.417014315068,"Two year","Fiber optic","Mailed check",0
8,48.6317644355018,352.267318518852,"Month-to-month","DSL","Bank transfer",0
12,21.1506026378612,167.612654926935,"Two year","Fiber optic","Credit card",1
11,40.4372385427516,475.324096312094,"Two year","No","Electronic check",0
75,92.7107324355733,6856.29998564013,"Month-to-month","No","Bank transfer",0
58,112.458140248666,6569.70028136999,"One year","Fiber optic","Credit card",0
39,57.112116131034,2272.07095072887,"Month-to-month","Fiber optic","Bank transfer",0
6,57.5488700914224,366.277629238843,"Month-to-month","Fiber optic","Electronic check",1
33,96.3500373085931,3171.37724059647,"Month-to-month","DSL","Mailed check",0
24,95.3436498049914,2220.64167987764,"Month-to-month","DSL","Bank transfer",0
30,92.038588322253,2734.80792696643,"Two year","No","Electronic check",0
13,57.4742154156971,668.606219425571,"One year","Fiber optic","Electronic check",0
19,65.4811851216241,1203.19389072098,"Month-to-month","Fiber optic","Credit card",0
9,95.0703383310427,926.031569884203,"Month-to-month","DSL","Credit card",0
16,53.8883675126723,813.448279920271,"Month-to-month","No","Bank transfer",0
34,72.2303210265843,2432.72395563135,"Two year","DSL","Mailed check",0
54,71.8111952172014,3936.89140178866,"Month-to-month","DSL","Mailed check",0
22,60.5523996136062,1300.66548735957,"Month-to-month","DSL","Bank transfer",0
5,70.6000596394156,434.582093660546,"Month-to-month","Fiber optic","Credit card",0
30,47.7785788361231,1356.4172033549,"Two year","Fiber optic","Bank transfer",1
23,54.7816704103551,1155.82515834461,"Two year","DSL","Bank transfer",0
40,68.2710212497045,2764.56398570826,"Month-to-month","Fiber optic","Electronic check",0
26,54.3911794115369,1487.15230761584,"Month-to-month","No","Credit card",0
45,69.160715699642,3202.18658463864,"One year","No","Bank transfer",0
16,86.4688865724855,1407.32743600612,"Month-to-month","No","Bank transfer",0
19,51.8800250990497,928.172306115632,"One year","DSL","Mailed check",0
5,78.232659944533,316.8475920893,"Month-to-month","DSL","Credit card",0
53,66.8007366542633,3547.67525179291,"Month-to-month","Fiber optic","Bank transfer",0
11,65.0434155659797,713.542689172217,"One year","DSL","Mailed check",0
21,33.1372076864853,767.874794499484,"Month-to-month","DSL","Bank transfer",0
45,18.6810216933624,833.09426272499,"Month-to-month","No","Electronic check",0
25,79.64018285036,1966.98195170444,"One year","Fiber optic","Bank transfer",0
34,83.4226739496057,2856.44001222215,"Month-to-month","Fiber optic","Mailed check",0
30,82.5475722331393,2458.69286027417,"Month-to-month","DSL","Bank transfer",0
17,54.4394816187491,893.505981377646,"Month-to-month","Fiber optic","Credit card",0
15,59.6939258203447,894.697090117504,"Month-to-month","DSL","Bank transfer",0
7,95.0858901041416,653.016680182068,"Month-to-month","Fiber optic","Mailed check",0
27,76.9454069533208,2091.97127704126,"Month-to-month","DSL","Mailed check",0
14,87.6885749861243,1276.33552953057,"Two year","Fiber optic","Mailed check",0
22,47.8551761406714,1113.38361403797,"Month-to-month","No","Electronic check",1
