x,y
12.72,1
14.9,0
12.4,1
20.18,0
18.82,0
14.86,1
13.98,0
12.87,1
14.04,1
13.85,1
14.02,1
10.97,1
17.27,0
13.78,1
10.57,1
18.03,0
11.99,1
17.75,0
14.8,1
14.53,1
21.1,0
11.87,1
19.59,0
12.0,1
14.53,1
12.62,1
13.38,1
11.63,1
13.21,1
13.0,1
9.755,1
17.08,0
27.42,0
14.4,1
11.6,1
13.17,1
13.24,1
13.14,1
9.668,1
17.6,0
11.62,1
9.667,1
12.04,1
14.92,1
12.27,1
10.88,1
12.83,1
14.2,1
13.9,1
11.49,1
16.25,0
12.16,1
13.9,1
13.47,1
13.7,1
15.73,1
12.45,1
14.64,1
19.44,0
11.68,1
16.69,0
12.25,1
17.85,1
18.01,0
12.46,1
13.16,1
14.87,1
12.65,1
12.47,1
18.49,0
20.59,0
15.04,1
13.82,0
12.54,1
23.09,0
9.268,1
9.676,1
12.22,1
11.06,1
16.3,1
15.46,0
11.74,1
14.81,1
13.4,0
14.58,1
15.05,0
11.34,1
18.31,0
19.89,0
12.88,1
12.75,1
9.295,1
24.63,0
11.26,1
13.71,1
9.847,1
8.571,1
13.46,1
12.34,1
13.94,1
12.07,1
11.75,1
11.67,1
13.68,1
20.47,0
10.96,1
20.55,0
14.27,0
11.69,1
7.729,1
7.691,1
11.54,1
14.47,1
14.74,1
13.21,1
13.87,1
13.62,1
10.32,1
10.26,1
9.683,1
10.82,1
10.86,1
11.13,1
12.77,1
9.333,1
12.88,1
10.29,1
10.16,1
9.423,1
14.59,1
11.51,1
14.05,1
11.2,1
15.22,0
20.92,0
21.56,0
20.13,0
16.6,0
20.6,0
7.76,1
